whonet_code,organism_name,snomed_code,kingdom,genus,species
AERVER,Aeromonas veronii,9281006,Bacteria,Aeromonas,veronii
ASB,Aeromonas veronii,9281006,Bacteria,Aeromonas,veronii
AVE,Aeromonas veronii,9281006,Bacteria,Aeromonas,veronii
AVV,Aeromonas veronii,9281006,Bacteria,Aeromonas,veronii
9806,Afipia,114234007,Bacteria,Afipia,
AFI,Afipia,114234007,Bacteria,Afipia,
AFISPP,Afipia,114234007,Bacteria,Afipia,
AFD,Afipia clevelandensis,114236009,Bacteria,Afipia,clevelandensis
APF,Afipia felis,114237000,Bacteria,Afipia,felis
AGGSPP,Aggregatibacter,441718002,Bacteria,Aggregatibacter,
AGT,Aggregatibacter,441718002,Bacteria,Aggregatibacter,
AGTSPP,Aggregatibacter,441718002,Bacteria,Aggregatibacter,
3401,Aggregatibacter actinomycetemcomitans,442680008,Bacteria,Aggregatibacter,actinomycetemcomitans
A.ACM,Aggregatibacter actinomycetemcomitans,442680008,Bacteria,Aggregatibacter,actinomycetemcomitans
A.AMY,Aggregatibacter actinomycetemcomitans,442680008,Bacteria,Aggregatibacter,actinomycetemcomitans
AACTIN,Aggregatibacter actinomycetemcomitans,442680008,Bacteria,Aggregatibacter,actinomycetemcomitans
ACBACT,Aggregatibacter actinomycetemcomitans,442680008,Bacteria,Aggregatibacter,actinomycetemcomitans
AGGACT,Aggregatibacter actinomycetemcomitans,442680008,Bacteria,Aggregatibacter,actinomycetemcomitans
